model_name,accuracy,precision,recall,f1_score,roc_auc,avg_precision
LogisticRegression,0.6944364671174582,0.22836178496555856,0.6857014388489209,0.34261963603684564,0.7581408798526088,0.3362113228862613
RandomForest,0.867294989948568,0.39145299145299145,0.2574190647482014,0.310592703105927,0.7453884012860602,0.3104067284174058
XGBoost,0.6988225465368247,0.2270486752926679,0.6627697841726619,0.33822854520422213,0.7459752346549876,0.3180537371530012
